Enhetskode,Enhet
,Ordfører
,Rådmann
,Avdeling for administrasjon
,Avdeling for helse
,Avdeling for samfunn
,Avdeling for oppvekst
,Midtbygda skole
,Siljan ungdomsskole
,Loppedåpan barnehage
,Opdalen barnehage
