Enhetskode,Enhet
,Arkivarer 
,Barnehage 
,Barnehage oppad 
,Flå skole - felles 
,Flå skole elevmapper 
,Helse 
,Helse og omsorg 
,Ledere 
,Næring 
,Opprett TKsak 
,Personal 
,Personal Pleie- og omsorg 
,Personal Pleie- og omsorg - AR 
,Pleie- og omsorg 
,Skole 
,Skole oppad 
,Sosial 
,ss-mal for tilgangsguppe 
,Tekniske Tjenester 
,Økonomi 
