Enhetskode,Enhet
EIE,Eiendom
GBUS,Grue barne- og ungdomsskole
GKS,Grue kulturskole
HFA,Barn og unge
HJE,Hjemmetjenesten
HVS,"Helse, velferd og lege"
LNT,Landbruk og teknikk
NABA,Gromungen barnehage
NAV,NAV
OMS,Omsorgsbolig
ORD,Ordfører
RÅD,Rådmann/kommunedirektør
SEKU,Servicetorg og kultur
SOBA,Solungen barnehage
STAB,Stab
SYK,Institusjon
TIL,Tildeling
TTFV,Tilrettelagte tjenester
