Enhetskode,Enhet
,Barnehagene
,Fellestjenesten
,Frya industrianlegg
,Fåvang skole
,Helse og mestring
,Hjemmetjenester
,J.O.B.A.
,Kommunedirektøren
,Kontrollutvalget
,Kultur
,Linåkertunet
,Midt-Gudbrandsdal barnevernskontor
,Midt-Gudbrandsdal brann- og feiervesen
,Midt-Gudbrandsdal landbrukskontor
,Midt-Gudbrandsdal regnskaps- og skatteoppkreverkontor
,
,Midt-Gudbrandsdal renovasjonsselskap
,NAV Ringebu
,Ordføreren
,Plan og teknisk
,Politiske utvalg
,Revisjon
,Ringebu kommune
,Ringebu skole
,Ringebu ungdomsskole
,Strategi og utvikling
