Tilgangskode,Beskrivelse,Startdato,Sluttdato
B,Barnehagesaker,,
BO,"Startlån, bolig, gjeldsrådgivning",,
E,Elevsaker,,
P,Personalsaker,,
UO,Unntatt offentlighet,,
Xx,Midlertidig sperret,,
