Enhetskode,Enhet
HRO,"Helse, Rehabilitering og Omsorg"
NAV,Nav Folldal
OPP,Oppvekst
OF,Ordfører
RM,Rådmannen
SK,Service og kultur
TLU,"Teknisk, Landbruk og Utvikling"
