Underlagt-ID,Underlagt,Underlagt2,Enhet,Enhetskode,Fradato,Tildato
UNG,Ungdom,SLT,SLT kordinator,UNG.SLT,04.01.2018 00:00:00,
,Økonomiseksjonen,ØKO,Økonomiseksjonen,ØKO,30.12.1998 00:00:00,31.12.2017 00:00:00
ØKO,Økonomiseksjonen,ADM,Administrasjon,ØKO.ADM,10.01.2008 00:00:00,
ØKO,Økonomiseksjonen,ANS,Ansettelsesråd,ØKO.ANS,27.06.2001 00:00:00,31.07.2005 00:00:00
ØKO,Økonomiseksjonen,OPV,Oppvekst,ØKO.OPV,18.06.2003 00:00:00,13.12.2005 00:00:00
ØKO,Økonomiseksjonen,SAK,Saksbehandler,ØKO.SAK,10.01.2008 00:00:00,
ØKO,Økonomiseksjonen,SKATT,Skatteoppkreveren,ØKO.SKATT,06.11.2003 00:00:00,13.12.2005 00:00:00
ØKO,Økonomiseksjonen,ØKO,Økonomiavdelingen,ØKO.ØKO,10.01.2008 00:00:00,
ØKO,Økonomiseksjonen,ØKOADM,Økonomiadministrasjonen,ØKO.ØKOADM,30.12.1998 00:00:00,31.07.2005 00:00:00
,Østvang skole,ØOS,Østvang skole,ØOS,11.11.1996 00:00:00,
ØOS,Østvang skole,ADM,Administrasjon,ØOS.ADM,10.01.2008 00:00:00,
ØOS,Østvang skole,ANS,Ansettelsesråd,ØOS.ANS,04.07.2001 00:00:00,
ØOS,Østvang skole,BHG,Barnehage,ØOS.BHG,11.11.1996 00:00:00,
ØOS,Østvang skole,FSTAVD,Forsterket avdelingen,ØOS.FSTAVD,10.01.2008 00:00:00,
ØOS,Østvang skole,SAK,Saksbehandler,ØOS.SAK,10.01.2008 00:00:00,
ØOS,Østvang skole,SFOS,Søsterboligen,ØOS.SFOS,15.01.1997 00:00:00,
ØOS,Østvang skole,ØOSADM,Østvang oppvekstsenter,ØOS.ØOSADM,15.01.1997 00:00:00,31.12.2007 00:00:00
ØOS,Østvang skole,ØSK,Østvang skole,ØOS.ØSK,11.11.1996 00:00:00,
ÅOB,Ådalsbruk barnehage,ÅOB,Ådalsbruk barnehage,ÅOB,10.01.2008 00:00:00,
ÅOB,Ådalsbruk barnehage,ADM,Administrasjon,ÅOB.ADM,10.01.2008 00:00:00,
ÅOB,Ådalsbruk barnehage,SAK,Saksbehandler,ÅOB.SAK,10.01.2008 00:00:00,
,Ådalsbruk skole,ÅOS,Ådalsbruk skole,ÅOS,11.11.1996 00:00:00,
ÅOS,Ådalsbruk skole,ADM,Administrasjon,ÅOS.ADM,10.01.2008 00:00:00,
ÅOS,Ådalsbruk skole,ANS,Ansettelsesråd,ÅOS.ANS,04.07.2001 00:00:00,
ÅOS,Ådalsbruk skole,BHG/SFO,Ådalsbruk barnehage/skolefritid,ÅOS.BHG/SFO,07.11.2003 00:00:00,
ÅOS,Ådalsbruk skole,SAK,Saksbehandler,ÅOS.SAK,10.01.2008 00:00:00,
ÅOS,Ådalsbruk skole,SFOT,Tregården,ÅOS.SFOT,15.01.1997 00:00:00,
ÅOS,Ådalsbruk skole,ÅOSADM,Ådalsbruk oppvekstsenter,ÅOS.ÅOSADM,15.01.1997 00:00:00,
ÅOS,Ådalsbruk skole,ÅSK,Ådalsbruk skole,ÅOS.ÅSK,11.11.1996 00:00:00,
