Enhetskode,Enhet
DRV,Drift og vedlikehald
EBH,Enge Barnehage
ESK,Enge  skule
ETNE,Etne kommune
HES,Helse
IKT,IKT
KUL,Kultur
L/P,Lønn- personal
NAV,NAV
PLO,Pleie- og omsorgsavdeling
POL,Politisk
RB,Rygg barnehage
RÅDMANNEN,Rådmannen
SBH,Skånevik barnehage
SSK,Skånevik skule
TER,Tenesterådgjeving
ETT,Tenestetorget
UTV,Utvikling
ØK,Økonomi
