Enhetskode,Enhet
SEN,Sentral journaleining for Fyresdal kommune
FK,Fyresdal kommune
ORD,Ordføraren
RÅD,Rådmannen
XAFT,Avdeling fellestenester
XAPT,Avdeling plan og teknikk
XASK,Avdeling skule og kultur
FBH,Fyresdal barnehage
XAPO,Avdeling pleie og omsorg
AHO,Avdeling helse og omsorg
AKV,Avdeling kjøkken og vaskeri
FT,Avdeling fellestenester
XBU,Avdeling for bygdeutvikling
KO,Avdeling skule og kultur
HO,Avdeling pleie og omsorg
PT,Avdeling plan og teknikk
KT,Kontroll og tilsyn
