Enhetskode,Enhet
,Administrativ avdeling
,Kommunikasjonsavdeling
,"Avdeling for håndheving av regelverk, internasjonal samarbeid  og sanksjoner"
,Seksjon for offentlige tjenester
,Seksjon for private tjenester
,Internasjonal seksjon
,"Avdeling for teknologi, analyse og sikkerhet"
,"Stab for sikkerhet, teknologi, strategi, virksomhetsplanlegging og intern IKT"
,"Seksjon for utredning, analyse og politikk"
