Enhetskode,Enhet
FH,Familie og helse
GB,Grimsby barnehage
KUL,Kultur og fritid
MARKER KOM,Marker kommune
MS,Marker skole
NAV,Nav Marker
OMS,Omsorg
PM,Plan- og miljø
RÅD,Rådmann
STAB,Stab/støttefunksjon
TPM,"Teknikk, plan og miljø"
